begin, end
2020-04-28T09:00:00,2020-04-28T12:00:00
2020-04-30T10:00:00,2020-04-30T12:00:00
2020-04-30T14:30:00,2020-04-30T16:30:00
2020-05-06T08:00:00,2020-05-06T09:00:00
2020-05-06T09:00:00,2020-05-06T10:00:00
2020-05-06T10:00:00,2020-05-06T11:00:00
2020-05-06T13:00:00,2020-05-06T14:00:00
2020-05-07T07:30:00,2020-05-07T08:30:00
2020-05-08T08:00:00,2020-05-08T18:00:00
2020-05-11T08:00:00,2020-05-11T18:00:00
2020-05-12T08:00:00,2020-05-12T18:00:00
2020-05-15T08:30:00,2020-05-15T10:30:00
2020-05-20T08:00:00,2020-05-20T18:00:00
2020-05-25T09:00:00,2020-05-25T10:00:00
2020-05-25T14:00:00,2020-05-25T16:00:00
2020-05-26T08:00:00,2020-05-26T18:00:00
2020-05-27T08:00:00,2020-05-27T13:00:00
2020-06-03T09:00:00,2020-06-03T15:00:00
2020-06-04T08:00:00,2020-06-04T11:00:00
2020-06-08T08:30:00,2020-06-08T17:30:00
2020-06-09T09:00:00,2020-06-09T15:30:00
2020-06-11T08:30:00,2020-06-11T12:00:00
2020-06-16T13:00:00,2020-06-16T16:30:00
2020-06-18T09:00:00,2020-06-18T10:30:00
2020-06-18T11:00:00,2020-06-18T12:00:00
2020-06-30T13:00:00,2020-06-30T16:30:00
2020-07-02T07:30:00,2020-07-02T08:30:00
2020-07-06T15:00:00,2020-07-06T17:00:00
2020-07-07T15:00:00,2020-07-07T17:00:00
2020-07-20T09:00:00,2020-07-20T10:00:00
2020-08-06T07:30:00,2020-08-06T08:30:00
2020-08-26T15:00:00,2020-08-26T17:00:00
2020-09-03T07:30:00,2020-09-03T08:30:00
2020-09-08T13:00:00,2020-09-08T16:30:00
2020-09-10T08:30:00,2020-09-10T12:00:00
2020-09-14T09:00:00,2020-09-14T10:00:00
2020-09-15T08:30:00,2020-09-15T12:00:00
2020-09-22T13:00:00,2020-09-22T16:30:00
2020-09-25T08:00:00,2020-09-25T17:00:00
2020-10-01T07:30:00,2020-10-01T08:30:00
2020-10-05T15:00:00,2020-10-05T17:00:00
2020-10-06T13:00:00,2020-10-06T16:30:00
2020-10-12T09:00:00,2020-10-12T10:30:00
2020-10-21T15:00:00,2020-10-21T17:00:00
2020-11-03T13:00:00,2020-11-03T16:30:00
2020-11-05T07:30:00,2020-11-05T08:30:00
2020-11-09T09:00:00,2020-11-09T10:00:00
2020-11-10T07:30:00,2020-11-10T09:00:00
2020-11-12T13:00:00,2020-11-12T16:30:00
2020-11-19T08:30:00,2020-11-19T12:00:00
2020-12-03T07:30:00,2020-12-03T08:30:00
2020-12-07T15:00:00,2020-12-07T17:00:00
2020-12-08T15:00:00,2020-12-08T17:00:00
2020-12-15T15:00:00,2020-12-15T17:00:00
